ID_Cliente,Target_Risco
122889,0
123769,0
111944,0
110585,0
110554,0
106924,0
109988,0
124111,0
104345,0
109466,0
118016,0
104015,0
109268,0
103627,0
107323,0
107591,0
101763,0
121717,0
109336,0
122217,0
107289,0
123174,0
121472,0
118212,0
118026,0
102436,0
117851,0
114489,0
110317,0
118920,0
102504,0
113278,0
100420,0
120524,0
121101,0
111101,0
105902,0
116116,0
117775,0
119547,0
107033,0
111245,0
112795,0
110211,0
118994,0
119856,0
116606,0
103206,0
116103,0
122812,0
121954,0
104673,0
104406,0
118671,0
104215,0
112190,0
106951,0
112532,0
106091,0
110504,0
102023,0
115052,0
103192,0
108296,0
122651,0
109472,0
109475,0
122250,0
102601,0
124608,0
118808,0
100772,0
115632,0
111631,0
108322,0
124300,0
117924,0
108729,0
114659,0
102276,0
102788,0
109121,0
112538,0
115627,0
122159,0
100914,0
111926,0
107011,0
122818,0
110239,0
123106,0
105830,0
101296,0
100239,0
116883,0
123260,0
120577,0
123997,0
100047,0
112259,0
118851,0
109321,0
124169,0
104767,0
122848,0
108168,0
108562,0
114974,0
102954,0
112042,0
113008,0
122315,0
113448,0
121889,0
119290,0
101585,0
120485,0
105944,0
109614,0
114082,0
117250,0
103601,0
106160,0
101853,0
103087,0
102722,0
117426,0
122271,0
120407,0
107866,0
103171,0
121505,0
103856,0
104705,0
107975,0
110411,0
101320,0
122970,0
106397,0
104994,0
113040,0
116224,0
123747,0
105212,0
121961,0
104320,0
114407,0
111644,0
121695,0
107720,0
112723,0
100901,0
101917,0
117270,0
114143,0
100638,0
116849,0
110408,0
112453,0
107230,0
101361,0
115130,0
122885,0
118457,0
109183,0
118770,0
104139,0
121451,0
102225,0
111344,0
106439,0
122168,0
118973,0
113202,0
105713,0
111282,0
114828,0
111801,0
100209,0
122618,0
119270,0
112255,0
117374,0
104726,0
119521,0
124107,0
107880,0
123943,0
114434,0
108904,0
104062,0
111636,0
109083,0
119190,0
124936,0
108210,0
114430,0
107619,0
100176,0
100137,0
104622,0
100723,0
106981,0
109290,0
124200,0
104121,0
103684,0
121820,0
112083,0
120378,0
105764,0
118224,0
123804,0
114242,0
120556,0
117650,0
112786,0
116938,0
118375,0
118787,0
112596,0
112140,0
103439,0
100790,0
112730,0
101106,0
112915,0
104434,0
105093,0
107031,0
121587,0
108121,0
119723,0
123115,0
105737,0
105038,0
108106,0
116943,0
122565,0
111317,0
115557,0
100993,0
122143,0
116564,0
102081,0
107887,0
100998,0
111805,0
123474,0
108550,0
124441,0
120651,0
123271,0
109067,0
111117,0
111138,0
122387,0
110320,0
102109,0
114425,0
109721,0
124796,0
103330,0
116313,0
115246,0
110917,0
100357,0
103883,0
104782,0
111904,0
100691,0
121577,0
100190,0
111458,0
121350,0
111328,0
115441,0
119126,0
113131,0
101994,0
103798,0
124029,0
116186,0
121254,0
121635,0
108029,0
116100,0
105446,0
107612,0
109360,0
120721,0
111692,0
105401,0
106261,0
109539,0
107994,0
106786,0
123124,0
121265,0
114998,0
117157,0
105215,0
121469,0
107941,0
119147,0
110797,0
122898,0
111209,0
115091,0
109362,0
119829,0
111822,0
117785,0
120868,0
108662,0
101957,0
124068,0
121989,0
107833,0
112464,0
118838,0
101040,0
102464,0
113151,0
119662,0
118764,0
108000,0
113924,0
123090,0
113014,0
122209,0
106794,0
114943,0
120542,0
107379,0
109536,0
107624,0
110197,0
119778,0
123542,0
103068,0
109872,0
102998,0
101588,0
103168,0
116762,0
113067,0
118664,0
107560,0
100524,0
104921,0
102624,0
103650,0
103538,0
119313,0
116337,0
100766,0
103475,0
105076,0
115309,0
107015,0
103513,0
102001,0
123875,0
102826,0
103162,0
102396,0
104729,0
110629,0
122606,0
122846,0
103739,0
120771,0
102088,0
120046,0
109262,0
102303,0
103927,0
119532,0
124908,0
119697,0
107908,0
113814,0
120663,0
111429,0
123499,0
114722,0
109335,0
114225,0
113510,0
118565,0
102411,0
116143,0
109200,0
110617,0
102289,0
103980,0
103459,0
116457,0
110813,0
103349,0
112646,0
103318,0
107728,0
106589,0
105386,0
112133,0
101081,0
104531,0
117616,0
101033,0
101022,0
103860,0
116026,0
110906,0
102551,0
112640,0
118765,0
113909,0
122831,0
115322,0
102708,0
113503,0
109675,0
104312,0
100429,0
110827,0
107554,0
119888,0
107848,0
107422,0
113698,0
106553,0
119763,0
110587,0
114043,0
120662,0
122542,0
106588,0
103943,0
116825,0
103803,0
122578,0
111984,0
103888,0
117668,0
101612,0
106426,0
116965,0
103960,0
109135,0
116388,0
112820,0
101638,0
110545,0
112644,0
120623,0
101395,0
110769,0
116723,0
100257,0
123658,0
108916,0
117735,0
108877,0
108842,0
101373,0
