ID_Cliente,Target_Risco
122889,0
123769,0
111944,1
110585,0
110554,2
106924,0
109988,1
124111,1
104345,0
109466,2
118016,1
104015,0
109268,0
103627,0
107323,0
107591,0
101763,1
121717,1
109336,0
122217,1
107289,0
123174,0
121472,0
118212,0
118026,0
102436,3
117851,2
114489,0
110317,0
118920,0
102504,0
113278,1
100420,0
120524,1
121101,0
111101,0
105902,0
116116,0
117775,2
119547,1
107033,0
111245,1
112795,0
110211,0
118994,0
119856,1
116606,1
103206,0
116103,0
122812,0
121954,0
104673,0
104406,1
118671,0
104215,0
112190,0
106951,1
112532,0
106091,0
110504,1
102023,3
115052,1
103192,0
108296,2
122651,1
109472,0
109475,0
122250,0
102601,0
124608,1
118808,0
100772,1
115632,2
111631,2
108322,0
124300,0
117924,1
108729,0
114659,0
102276,0
102788,1
109121,1
112538,0
115627,0
122159,0
100914,0
111926,0
107011,2
122818,0
110239,0
123106,1
105830,0
101296,1
100239,2
116883,1
123260,1
120577,2
123997,0
100047,0
112259,1
118851,2
109321,1
124169,0
104767,0
122848,0
108168,2
108562,0
114974,1
102954,0
112042,0
113008,0
122315,0
113448,0
121889,0
119290,0
101585,0
120485,0
105944,2
109614,0
114082,0
117250,0
103601,0
106160,0
101853,0
103087,2
102722,0
117426,0
122271,3
120407,0
107866,0
103171,0
121505,0
103856,1
104705,0
107975,2
110411,0
101320,0
122970,2
106397,0
104994,0
113040,1
116224,2
123747,1
105212,0
121961,0
104320,3
114407,0
111644,1
121695,1
107720,0
112723,0
100901,3
101917,0
117270,0
114143,0
100638,0
116849,0
110408,0
112453,1
107230,0
101361,1
115130,0
122885,1
118457,0
109183,0
118770,0
104139,0
121451,0
102225,0
111344,0
106439,2
122168,0
118973,2
113202,0
105713,0
111282,0
114828,0
111801,0
100209,2
122618,1
119270,1
112255,0
117374,3
104726,2
119521,0
124107,0
107880,1
123943,0
114434,0
108904,0
104062,3
111636,0
109083,3
119190,1
124936,2
108210,0
114430,0
107619,0
100176,0
100137,0
104622,0
100723,0
106981,1
109290,0
124200,3
104121,1
103684,0
121820,0
112083,1
120378,0
105764,0
118224,0
123804,3
114242,0
120556,0
117650,0
112786,2
116938,1
118375,1
118787,0
112596,1
112140,2
103439,0
100790,0
112730,0
101106,1
112915,2
104434,0
105093,2
107031,0
121587,0
108121,0
119723,3
123115,3
105737,1
105038,0
108106,1
116943,0
122565,0
111317,0
115557,2
100993,2
122143,0
116564,0
102081,0
107887,3
100998,1
111805,3
123474,0
108550,0
124441,0
120651,1
123271,0
109067,0
111117,2
111138,0
122387,0
110320,1
102109,0
114425,0
109721,1
124796,0
103330,0
116313,0
115246,0
110917,0
100357,3
103883,1
104782,1
111904,1
100691,0
121577,0
100190,0
111458,1
121350,0
111328,0
115441,0
119126,1
113131,0
101994,0
103798,0
124029,0
116186,2
121254,2
121635,2
108029,0
116100,0
105446,1
107612,1
109360,1
120721,1
111692,0
105401,0
106261,0
109539,0
107994,0
106786,3
123124,2
121265,0
114998,0
117157,0
105215,0
121469,1
107941,1
119147,1
110797,0
122898,0
111209,0
115091,0
109362,0
119829,1
111822,1
117785,0
120868,0
108662,2
101957,1
124068,2
121989,3
107833,0
112464,0
118838,0
101040,0
102464,1
113151,0
119662,0
118764,0
108000,1
113924,0
123090,0
113014,2
122209,0
106794,0
114943,0
120542,0
107379,0
109536,1
107624,1
110197,0
119778,0
123542,0
103068,0
109872,1
102998,0
101588,2
103168,0
116762,0
113067,0
118664,1
107560,3
100524,0
104921,1
102624,1
103650,0
103538,0
119313,0
116337,1
100766,3
103475,0
105076,0
115309,0
107015,0
103513,1
102001,0
123875,0
102826,0
103162,1
102396,2
104729,1
110629,2
122606,0
122846,0
103739,0
120771,0
102088,0
120046,0
109262,0
102303,0
103927,0
119532,0
124908,0
119697,0
107908,0
113814,0
120663,0
111429,0
123499,0
114722,2
109335,0
114225,0
113510,1
118565,0
102411,1
116143,0
109200,1
110617,0
102289,2
103980,0
103459,0
116457,0
110813,1
103349,3
112646,1
103318,1
107728,0
106589,1
105386,1
112133,2
101081,0
104531,0
117616,0
101033,0
101022,0
103860,0
116026,0
110906,0
102551,2
112640,1
118765,0
113909,0
122831,0
115322,1
102708,0
113503,0
109675,1
104312,1
100429,0
110827,0
107554,0
119888,0
107848,0
107422,0
113698,0
106553,2
119763,0
110587,2
114043,1
120662,2
122542,2
106588,3
103943,2
116825,0
103803,0
122578,0
111984,0
103888,0
117668,0
101612,0
106426,3
116965,0
103960,0
109135,0
116388,0
112820,1
101638,3
110545,1
112644,0
120623,0
101395,0
110769,0
116723,2
100257,0
123658,0
108916,0
117735,1
108877,1
108842,0
101373,0
